ID_datospoblacion;Estrato;Distrito;GV Descripción 2;Población;Origen;Zona;Fuente
2360;3;6066656CE;CONVERTIA BOGOTA;CALDAS;SAC;606665;PR
2444;2;6066656CE;CONVERTIA BOGOTA;CALDAS;VENTAS DIGITALES;606665;PR
3097;3;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
3203;3;6066656CE;CONVERTIA NOROCCIDENTE;LA ESTRELLA;SAC;606665;PR
683;3;6066656AP;CONVERTIA BOGOTA;SAN ANTONIO DE PRADO;VENTAS DIGITALES;606665;PR
1296;2;6066656AP;CONVERTIA BOGOTA;SAN ANTONIO DE PRADO;SAC;606665;PR
1757;4;6066656AP;CONVERTIA BOGOTA;SAN ANTONIO DE PRADO;SAC;606665;PR
1831;3;6066656AP;CONVERTIA BOGOTA;SAN ANTONIO DE PRADO;SAC;606665;PR
239;4;6066646RM;CONVERTIA NOROCCIDENTE;RIONEGRO;SAC;606664;PR
313;4;6066646RM;CONVERTIA BOGOTA;RIONEGRO;SAC;606664;PR
1132;3;6066646RM;CONVERTIA BOGOTA;RIONEGRO;SAC;606664;PR
1167;4;6066646RM;CONVERTIA BOGOTA;RIONEGRO;SAC;606664;PR
1169;3;6066646RM;CONVERTIA BOGOTA;RIONEGRO;SAC;606664;PR
1196;2;6066646RM;CONVERTIA BOGOTA;RIONEGRO;SAC;606664;PR
1292;3;6066646RM;CONVERTIA BOGOTA;RIONEGRO;SAC;606664;PR
3178;4;6066646RM;CONVERTIA BOGOTA;RIONEGRO;SAC;606664;PR
791;2;6066646RD;CONVERTIA NOROCCIDENTE;RIONEGRO;SAC;606664;PR
7;2;6066646LE;CONVERTIA NOROCCIDENTE;EL CARMEN DE VIBORAL;SAC;606664;PR
473;3;6066646LE;CONVERTIA BOGOTA;LA CEJA;SAC;606664;PR
587;2;6066646LE;CONVERTIA BOGOTA;LA CEJA;SAC;606664;PR
954;3;6066646LE;CONVERTIA BOGOTA;LA CEJA;SAC;606664;PR
1089;3;6066646LE;CONVERTIA BOGOTA;LA CEJA;SAC;606664;PR
1298;2;6066646LE;CONVERTIA BOGOTA;LA CEJA;SAC;606664;PR
1963;2;6066646LE;CONVERTIA BOGOTA;LA CEJA;SAC;606664;PR
2918;2;6066646LE;CONVERTIA BOGOTA;LA CEJA;SAC;606664;PR
2989;2;6066646LE;CONVERTIA NOROCCIDENTE;EL CARMEN DE VIBORAL;SAC;606664;PR
3168;2;6066646LE;CONVERTIA BOGOTA;LA CEJA;VENTAS DIGITALES;606664;PR
503;1;6066636UT;CONVERTIA BOGOTA;ARBOLETES;SAC;606663;PR
1798;1;6066636DA;CONVERTIA BOGOTA;APARTADO;SAC;606663;PR
1086;4;6066636AS;CONVERTIA BOGOTA;APARTADO;SAC;606663;PR
3144;3;6066636AS;CONVERTIA BOGOTA;APARTADO;SAC;606663;PR
514;1;6066636AN;CONVERTIA BOGOTA;APARTADO;SAC;606663;PR
516;3;6066636AN;CONVERTIA BOGOTA;APARTADO;SAC;606663;PR
2083;1;6066636AN;CONVERTIA BOGOTA;APARTADO;VENTAS DIGITALES;606663;PR
2519;1;6066636AN;CONVERTIA BOGOTA;APARTADO;SAC;606663;PR
333;4;6046476MP;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
1261;5;6046476MP;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
1274;5;6046476MP;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
1316;6;6046476MP;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
1710;6;6046476MP;CONVERTIA NOROCCIDENTE;MEDELLIN;SAC;604647;PR
1724;4;6046476MP;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
2034;4;6046476MP;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
2185;5;6046476MP;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
2323;5;6046476MP;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
2383;5;6046476MP;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
2584;5;6046476MP;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;AD
3083;6;6046476MP;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
64;2;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
234;3;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
360;2;60464763O;CONVERTIA BOGOTA;MEDELLIN;VENTAS DIGITALES;604647;PR
436;2;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
449;3;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
455;2;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
534;2;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
590;3;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
702;2;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
1443;2;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
1617;3;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
1756;2;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
1865;2;60464763O;CONVERTIA BOGOTA;MEDELLIN;VENTAS DIGITALES;604647;PR
2238;2;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
2675;2;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
2740;2;60464763O;CONVERTIA NOROCCIDENTE;MEDELLIN;SAC;604647;PR
2962;2;60464763O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
3138;3;60464763O;CONVERTIA BOGOTA;MEDELLIN;VENTAS DIGITALES;604647;PR
305;3;60464762O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
391;2;60464762O;CONVERTIA BOGOTA;MEDELLIN;VENTAS DIGITALES;604647;PR
716;3;60464762O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
825;2;60464762O;CONVERTIA BOGOTA;MEDELLIN;SAC;604647;PR
